title,genre,year,rating,votes,runtime_min,director,language,country,budget_million,gross_million,metascore,profit_million,roi_percent
Movie Title 229,Action,2015,6.5,1532064,109,Peter Jackson,Italian,South Korea,34.5,272.4,64.0,237.9,689.6
Movie Title 230,Comedy,1998,5.3,1442149,125,Martin Scorsese,German,USA,59.3,140.6,90.0,81.3,137.1
Movie Title 231,Drama,2005,6.5,218583,173,Wes Anderson,Italian,India,62.6,205.6,31.0,143.0,228.4
Movie Title 232,Action,1982,7.5,364898,208,Alfonso Cuaron,English,France,111.4,619.4,51.0,508.0,456.0
Movie Title 233,Documentary,1998,5.2,139286,179,Coen Brothers,French,Australia,23.6,154.7,,131.1,555.5
Movie Title 234,Animation,1999,6.9,228189,205,Peter Jackson,Japanese,Australia,69.7,240.9,70.0,171.2,245.6
Movie Title 235,Comedy,2011,5.5,1176055,162,Christopher Nolan,French,Japan,195.6,511.6,55.0,316.0,161.6
Movie Title 236,Documentary,1986,6.7,1469919,163,Christopher Nolan,English,UK,78.6,590.7,86.0,512.1,651.5
Movie Title 237,Horror,2020,7.5,1185789,125,Peter Jackson,Korean,USA,40.4,221.5,20.0,181.1,448.3
Movie Title 238,Documentary,2012,3.9,554172,129,Wes Anderson,Italian,France,59.8,67.5,46.0,7.7,12.9
Movie Title 239,Romance,2019,5.2,1314428,207,David Lynch,Japanese,India,80.8,59.6,59.0,-21.2,-26.2
Movie Title 240,Romance,2018,6.1,805807,108,Ridley Scott,French,UK,56.8,225.6,33.0,168.8,297.2
Movie Title 241,Thriller,1997,6.9,1588952,97,Quentin Tarantino,German,USA,1.0,1.9,88.0,0.9,90.0
Movie Title 242,Crime,2019,6.3,1369335,118,Denis Villeneuve,Korean,Japan,13.0,28.4,98.0,15.4,118.5
Movie Title 243,Crime,1980,6.4,1421858,194,James Cameron,English,UK,99.8,703.2,25.0,603.4,604.6
Movie Title 244,Comedy,1990,9.0,1749982,82,Coen Brothers,German,South Korea,19.1,17.2,52.0,-1.9,-9.9
Movie Title 245,Horror,2007,5.0,273158,105,David Lynch,French,Germany,78.9,456.0,74.0,377.1,477.9
Movie Title 246,Sci-Fi,2004,7.9,1769361,170,Denis Villeneuve,German,UK,27.9,64.6,,36.7,131.5
Movie Title 247,Romance,2002,6.1,1446065,95,David Fincher,Italian,Germany,44.3,271.6,96.0,227.3,513.1
Movie Title 248,Comedy,2010,7.2,703495,155,David Fincher,Hindi,Australia,4.2,24.5,48.0,20.3,483.3
Movie Title 249,Sci-Fi,2009,9.1,1414562,73,Christopher Nolan,German,France,12.0,3.1,80.0,-8.9,-74.2
Movie Title 250,Crime,2021,7.3,1997961,151,David Fincher,Korean,USA,189.1,788.8,89.0,599.7,317.1
Movie Title 251,Thriller,2014,6.9,1539814,196,Ridley Scott,English,France,132.5,170.5,98.0,38.0,28.7
Movie Title 252,Documentary,1986,8.4,79077,157,Quentin Tarantino,French,France,63.4,441.0,99.0,377.6,595.6
Movie Title 253,Romance,1995,7.8,1189360,196,Guillermo del Toro,Italian,India,36.9,258.2,43.0,221.3,599.7
Movie Title 254,Comedy,2005,5.5,1255352,189,David Lynch,Hindi,Japan,67.6,234.1,42.0,166.5,246.3
Movie Title 255,Action,1981,6.9,316018,91,Alfonso Cuaron,Hindi,UK,57.8,211.9,29.0,154.1,266.6
Movie Title 256,Sci-Fi,1980,4.4,70087,199,David Fincher,English,USA,50.4,129.3,,78.9,156.5
Movie Title 257,Documentary,1991,5.9,1848305,100,Martin Scorsese,Spanish,Australia,3.7,21.4,60.0,17.7,478.4
Movie Title 258,Romance,1984,6.9,1814205,188,Guillermo del Toro,Italian,South Korea,60.1,180.2,68.0,120.1,199.8
Movie Title 259,Crime,2016,5.8,814560,80,Quentin Tarantino,Italian,Japan,87.9,201.2,36.0,113.3,128.9
Movie Title 260,Horror,2011,6.8,1642232,115,Stanley Kubrick,Japanese,Japan,307.8,1099.3,75.0,791.5,257.1
Movie Title 261,Sci-Fi,1988,6.5,744859,165,Ridley Scott,English,USA,0.7,0.6,64.0,-0.1,-14.3
Movie Title 262,Crime,2020,7.1,1390678,79,Wes Anderson,Hindi,Japan,78.6,473.4,49.0,394.8,502.3
Movie Title 263,Romance,2014,6.0,296064,197,Denis Villeneuve,Hindi,India,50.9,15.2,63.0,-35.7,-70.1
Movie Title 264,Sci-Fi,1998,5.4,252514,168,Quentin Tarantino,German,Japan,34.2,178.8,93.0,144.6,422.8
Movie Title 265,Documentary,1995,8.3,929660,181,Quentin Tarantino,English,Australia,8.2,13.3,74.0,5.1,62.2
Movie Title 266,Romance,1982,5.9,143180,129,Denis Villeneuve,Spanish,Australia,31.6,63.6,38.0,32.0,101.3
Movie Title 267,Animation,1999,7.3,1998925,156,Ridley Scott,Japanese,India,26.3,135.7,48.0,109.4,416.0
Movie Title 268,Comedy,2003,8.2,1969880,214,Guillermo del Toro,French,UK,21.6,171.6,21.0,150.0,694.4
Movie Title 269,Documentary,2012,6.7,785192,134,Wes Anderson,English,UK,78.8,493.8,55.0,415.0,526.6
Movie Title 270,Sci-Fi,2003,5.5,436928,126,David Fincher,Japanese,France,72.4,142.0,38.0,69.6,96.1
Movie Title 271,Horror,1990,6.3,921114,175,Christopher Nolan,Italian,Australia,53.4,84.0,26.0,30.6,57.3
Movie Title 272,Crime,1987,7.7,602891,78,Coen Brothers,Japanese,India,167.5,1165.2,45.0,997.7,595.6
Movie Title 273,Action,2015,6.7,1083448,91,Guillermo del Toro,German,South Korea,25.8,94.5,,68.7,266.3
Movie Title 274,Crime,2017,5.1,1322448,210,Wes Anderson,Korean,UK,16.8,21.3,57.0,4.5,26.8
Movie Title 275,Sci-Fi,2019,7.2,358246,158,Denis Villeneuve,Hindi,Japan,64.0,443.2,22.0,379.2,592.5
Movie Title 276,Crime,1999,7.4,1538111,87,Alfonso Cuaron,German,USA,13.3,87.3,99.0,74.0,556.4
Movie Title 277,Comedy,2014,6.1,1433769,184,Denis Villeneuve,French,USA,22.7,178.8,85.0,156.1,687.7
Movie Title 278,Romance,2004,7.2,1856591,214,Wes Anderson,English,Germany,15.3,111.6,90.0,96.3,629.4
Movie Title 279,Action,2014,6.8,86774,212,Denis Villeneuve,German,Australia,4.3,29.4,62.0,25.1,583.7
Movie Title 280,Drama,2004,6.3,1974343,175,Denis Villeneuve,Hindi,India,105.4,64.3,81.0,-41.1,-39.0
Movie Title 281,Sci-Fi,2008,4.9,389518,84,Coen Brothers,Korean,South Korea,17.6,17.9,90.0,0.3,1.7
Movie Title 282,Thriller,1997,7.8,1248098,132,David Lynch,German,France,38.4,178.1,43.0,139.7,363.8
Movie Title 283,Drama,1997,7.4,1269933,82,Coen Brothers,Korean,Japan,2.7,11.7,58.0,9.0,333.3
Movie Title 284,Crime,1981,7.2,413672,150,David Fincher,German,India,72.1,272.0,87.0,199.9,277.3
Movie Title 285,Sci-Fi,2014,8.4,1927126,101,Peter Jackson,Hindi,Germany,24.1,79.4,63.0,55.3,229.5
Movie Title 286,Animation,1995,7.6,1115518,206,Peter Jackson,Spanish,USA,81.9,291.8,24.0,209.9,256.3
Movie Title 287,Thriller,2020,7.3,538977,109,Steven Spielberg,Japanese,India,31.9,148.0,74.0,116.1,363.9
Movie Title 288,Action,2015,3.8,1607140,217,Guillermo del Toro,English,Japan,13.1,2.8,49.0,-10.3,-78.6
Movie Title 289,Horror,2012,7.9,1559141,151,Guillermo del Toro,English,South Korea,43.2,96.5,48.0,53.3,123.4
Movie Title 290,Animation,1983,6.6,1572128,146,Denis Villeneuve,English,Australia,8.4,35.6,45.0,27.2,323.8
Movie Title 291,Drama,2012,6.9,627256,145,Denis Villeneuve,Hindi,South Korea,34.8,203.0,,168.2,483.3
Movie Title 292,Romance,1993,6.9,414089,107,Quentin Tarantino,Italian,UK,22.9,35.7,56.0,12.8,55.9
Movie Title 293,Comedy,2000,7.4,1849058,140,Peter Jackson,Spanish,Japan,145.8,651.1,,505.3,346.6
Movie Title 294,Horror,1999,7.8,591504,117,David Fincher,French,Germany,3.8,21.9,49.0,18.1,476.3
Movie Title 295,Animation,1987,7.3,1789380,87,Alfonso Cuaron,Korean,UK,71.1,260.8,22.0,189.7,266.8
Movie Title 296,Romance,1986,7.1,347184,213,Christopher Nolan,Hindi,UK,12.1,5.0,62.0,-7.1,-58.7
Movie Title 297,Romance,1982,6.8,546932,108,Steven Spielberg,Italian,UK,23.1,85.6,26.0,62.5,270.6
Movie Title 298,Sci-Fi,1996,2.5,63021,158,Guillermo del Toro,French,India,32.2,80.9,68.0,48.7,151.2
Movie Title 299,Animation,2012,6.2,693485,131,Stanley Kubrick,Korean,Germany,143.2,1067.0,92.0,923.8,645.1
Movie Title 300,Action,1991,5.4,461115,210,Guillermo del Toro,Korean,USA,16.7,19.6,60.0,2.9,17.4
Movie Title 301,Crime,2001,8.0,43291,178,Steven Spielberg,Spanish,South Korea,5.7,30.1,96.0,24.4,428.1
Movie Title 302,Thriller,2001,7.2,429276,150,Alfonso Cuaron,Japanese,Australia,23.0,14.1,98.0,-8.9,-38.7
Movie Title 303,Thriller,2009,6.0,395754,203,Alfonso Cuaron,English,India,6.6,24.3,,17.7,268.2
Movie Title 304,Drama,2017,6.1,954680,146,Wes Anderson,German,USA,8.3,37.5,88.0,29.2,351.8
Movie Title 305,Drama,2017,6.0,304664,159,Stanley Kubrick,French,South Korea,51.2,129.2,46.0,78.0,152.3
Movie Title 306,Thriller,1987,6.0,26675,83,Stanley Kubrick,Hindi,Australia,3.8,14.2,27.0,10.4,273.7
Movie Title 307,Action,2006,4.8,674647,164,David Fincher,French,Germany,1.9,2.8,51.0,0.9,47.4
Movie Title 308,Comedy,2006,4.5,263318,123,Stanley Kubrick,Japanese,Australia,75.2,193.4,83.0,118.2,157.2
Movie Title 309,Documentary,2013,6.5,1141844,201,Christopher Nolan,English,Germany,26.9,135.7,29.0,108.8,404.5
Movie Title 310,Crime,2000,7.8,1346718,108,Quentin Tarantino,French,Japan,8.0,20.4,,12.4,155.0
Movie Title 311,Comedy,2009,5.9,709672,141,Coen Brothers,Japanese,Australia,17.6,127.0,82.0,109.4,621.6
Movie Title 312,Sci-Fi,2012,6.9,1979192,94,Alfonso Cuaron,Hindi,South Korea,61.6,314.3,54.0,252.7,410.2
Movie Title 313,Documentary,2007,7.4,630698,146,James Cameron,Spanish,South Korea,19.3,69.9,80.0,50.6,262.2
Movie Title 314,Documentary,2012,5.3,338369,189,Peter Jackson,Italian,Germany,40.9,20.5,73.0,-20.4,-49.9
Movie Title 315,Animation,1984,6.5,1880822,122,Denis Villeneuve,Korean,South Korea,7.8,32.0,27.0,24.2,310.3
Movie Title 316,Action,1998,5.7,1396811,200,David Fincher,Hindi,France,53.2,328.0,48.0,274.8,516.5
Movie Title 317,Action,1983,8.4,313863,219,David Lynch,English,Japan,22.8,51.8,60.0,29.0,127.2
Movie Title 318,Documentary,2014,8.4,130887,165,Wes Anderson,Korean,India,59.2,384.4,49.0,325.2,549.3
Movie Title 319,Animation,1996,5.3,297063,141,Peter Jackson,Italian,Australia,99.1,214.5,40.0,115.4,116.4
Movie Title 320,Crime,2023,7.0,1384875,131,Guillermo del Toro,Hindi,India,56.8,376.3,95.0,319.5,562.5
Movie Title 321,Documentary,2007,7.8,334713,75,Denis Villeneuve,German,USA,21.0,18.2,30.0,-2.8,-13.3
Movie Title 322,Horror,2009,7.5,1877336,101,James Cameron,Hindi,India,17.7,123.1,21.0,105.4,595.5
Movie Title 323,Drama,2008,6.6,1251130,168,Guillermo del Toro,Hindi,UK,23.8,97.4,69.0,73.6,309.2
Movie Title 324,Drama,1985,8.1,1860626,207,Stanley Kubrick,German,South Korea,10.8,27.1,60.0,16.3,150.9
Movie Title 325,Comedy,2014,5.4,559963,200,James Cameron,Hindi,India,12.0,27.2,85.0,15.2,126.7
Movie Title 326,Sci-Fi,2020,6.1,1544586,145,Coen Brothers,Korean,USA,93.8,334.8,22.0,241.0,256.9
Movie Title 327,Drama,2016,5.4,806351,128,Wes Anderson,English,USA,29.1,232.6,99.0,203.5,699.3
Movie Title 328,Romance,2003,7.4,791605,100,Ridley Scott,Italian,UK,34.4,66.0,70.0,31.6,91.9
Movie Title 329,Comedy,2008,5.8,372513,162,James Cameron,Japanese,USA,54.1,54.4,87.0,0.3,0.6
Movie Title 330,Drama,2010,6.3,813832,138,Guillermo del Toro,French,Germany,53.4,254.4,44.0,201.0,376.4
Movie Title 331,Sci-Fi,2014,7.2,182517,121,Alfonso Cuaron,German,France,4.2,16.8,49.0,12.6,300.0
Movie Title 332,Action,2012,7.3,71305,158,Wes Anderson,Spanish,Germany,106.9,458.5,30.0,351.6,328.9
Movie Title 333,Action,2000,5.4,693924,196,Peter Jackson,German,South Korea,11.7,63.2,36.0,51.5,440.2
Movie Title 334,Crime,2011,7.8,1488606,100,Martin Scorsese,Italian,South Korea,77.0,175.8,45.0,98.8,128.3
Movie Title 335,Documentary,2002,7.0,473963,153,Martin Scorsese,French,South Korea,88.9,649.3,42.0,560.4,630.4
Movie Title 336,Horror,2012,5.2,1662655,196,Stanley Kubrick,French,Japan,75.3,270.9,75.0,195.6,259.8
Movie Title 337,Action,1982,4.9,1208610,219,Denis Villeneuve,Spanish,India,51.9,62.6,71.0,10.7,20.6
Movie Title 338,Animation,1997,6.5,479108,201,Denis Villeneuve,Italian,France,0.9,5.4,67.0,4.5,500.0
Movie Title 339,Drama,2004,7.5,1004346,82,Ridley Scott,Korean,India,26.8,139.8,39.0,113.0,421.6
Movie Title 340,Animation,2021,7.6,595821,114,Martin Scorsese,English,France,55.7,148.3,21.0,92.6,166.2
Movie Title 341,Sci-Fi,2010,6.9,188256,196,David Lynch,Spanish,India,29.4,148.4,50.0,119.0,404.8
Movie Title 342,Action,1982,6.6,477128,183,Guillermo del Toro,English,UK,119.5,228.8,46.0,109.3,91.5
Movie Title 343,Horror,2019,7.1,1024920,89,Denis Villeneuve,Korean,Australia,22.2,81.5,21.0,59.3,267.1
Movie Title 344,Sci-Fi,2003,5.5,891023,150,James Cameron,French,Germany,20.8,150.1,97.0,129.3,621.6
Movie Title 345,Romance,2011,8.5,1715514,198,Denis Villeneuve,English,USA,18.6,23.1,23.0,4.5,24.2
Movie Title 346,Romance,2001,8.5,1704924,212,Steven Spielberg,Korean,USA,24.3,78.2,,53.9,221.8
Movie Title 347,Animation,2002,7.0,1723560,86,Ridley Scott,Korean,Germany,48.9,323.0,,274.1,560.5
Movie Title 348,Documentary,1981,6.7,1034668,127,David Lynch,Japanese,UK,73.7,572.1,91.0,498.4,676.3
Movie Title 349,Comedy,2006,6.0,826626,141,David Fincher,Spanish,France,65.2,243.9,85.0,178.7,274.1
Movie Title 350,Documentary,2021,7.1,1421623,178,Christopher Nolan,Japanese,Germany,98.9,410.9,25.0,312.0,315.5
Movie Title 351,Crime,1981,5.7,1443181,92,Quentin Tarantino,German,Japan,130.2,607.1,50.0,476.9,366.3
Movie Title 352,Documentary,2005,3.8,1411023,141,Wes Anderson,French,France,101.6,759.2,29.0,657.6,647.2
Movie Title 353,Crime,1996,3.2,243188,77,Christopher Nolan,Spanish,USA,1.1,7.6,40.0,6.5,590.9
Movie Title 354,Crime,2019,5.5,377047,128,David Lynch,French,Japan,79.9,122.3,93.0,42.4,53.1
Movie Title 355,Horror,2012,6.7,854823,180,Christopher Nolan,Japanese,India,14.0,50.5,42.0,36.5,260.7
Movie Title 356,Action,1988,6.9,238501,82,Coen Brothers,Italian,Japan,8.6,32.8,22.0,24.2,281.4
Movie Title 357,Horror,2022,5.9,1980874,85,Alfonso Cuaron,Korean,France,61.0,387.7,,326.7,535.6
Movie Title 358,Crime,2018,6.7,1369722,188,David Lynch,French,UK,23.1,113.2,39.0,90.1,390.0
Movie Title 359,Sci-Fi,2008,6.2,298675,71,David Lynch,Spanish,India,3.5,18.6,93.0,15.1,431.4
Movie Title 360,Romance,2021,5.3,709175,214,Wes Anderson,German,France,8.9,71.1,48.0,62.2,698.9
Movie Title 361,Crime,2005,6.4,1578850,99,David Fincher,Spanish,India,0.1,0.5,71.0,0.4,400.0
Movie Title 362,Horror,2014,7.5,1868306,172,Denis Villeneuve,French,Japan,140.1,271.7,65.0,131.6,93.9
Movie Title 363,Sci-Fi,2004,5.4,264625,82,Alfonso Cuaron,Spanish,USA,1.5,5.1,,3.6,240.0
Movie Title 364,Horror,2003,5.4,843840,165,Coen Brothers,German,France,14.1,41.1,80.0,27.0,191.5
Movie Title 365,Documentary,1992,5.2,201339,163,Guillermo del Toro,Korean,Australia,32.3,11.9,91.0,-20.4,-63.2
Movie Title 366,Drama,1986,4.2,1695814,151,Christopher Nolan,Italian,UK,26.5,24.3,90.0,-2.2,-8.3
Movie Title 367,Animation,2015,5.9,935339,82,Wes Anderson,Korean,Australia,145.6,802.5,89.0,656.9,451.2
Movie Title 368,Comedy,1999,7.4,126355,163,David Lynch,Spanish,Australia,2.5,17.6,30.0,15.1,604.0
Movie Title 369,Horror,1980,6.7,28798,218,Guillermo del Toro,German,Germany,43.1,181.5,82.0,138.4,321.1
Movie Title 370,Comedy,1987,6.3,616937,181,Steven Spielberg,German,Japan,68.5,301.8,40.0,233.3,340.6
Movie Title 371,Thriller,1995,6.7,1376607,124,Quentin Tarantino,French,France,161.0,352.5,22.0,191.5,118.9
Movie Title 372,Horror,1993,5.9,20477,150,Christopher Nolan,Japanese,UK,58.1,359.6,,301.5,518.9
Movie Title 373,Drama,1991,4.2,1460058,185,Martin Scorsese,Spanish,France,97.7,592.5,46.0,494.8,506.4
Movie Title 374,Comedy,2002,7.4,218400,212,David Fincher,Spanish,Japan,5.2,24.9,,19.7,378.8
Movie Title 375,Crime,1994,7.8,1266636,177,David Fincher,Spanish,France,29.3,54.5,26.0,25.2,86.0
Movie Title 376,Horror,2007,5.6,390959,122,David Fincher,Spanish,India,28.1,26.9,36.0,-1.2,-4.3
Movie Title 377,Action,2013,6.3,1560757,197,Ridley Scott,French,Japan,130.4,91.4,84.0,-39.0,-29.9
Movie Title 378,Animation,1981,6.2,1557407,126,Ridley Scott,Japanese,France,9.8,47.3,83.0,37.5,382.7
Movie Title 379,Drama,2011,6.9,1025374,121,James Cameron,Japanese,Germany,9.9,65.7,45.0,55.8,563.6
Movie Title 380,Comedy,2002,8.5,1963434,206,Guillermo del Toro,English,USA,23.9,164.8,34.0,140.9,589.5
Movie Title 381,Drama,2001,7.9,406105,180,Peter Jackson,Spanish,France,3.4,13.0,52.0,9.6,282.4
Movie Title 382,Sci-Fi,2004,6.0,1336055,70,Quentin Tarantino,Spanish,India,12.1,76.4,81.0,64.3,531.4
Movie Title 383,Animation,2001,7.2,1978334,113,Coen Brothers,English,UK,201.5,1528.5,66.0,1327.0,658.6
Movie Title 384,Crime,2001,8.0,1398330,144,Stanley Kubrick,Japanese,Germany,33.5,78.6,54.0,45.1,134.6
Movie Title 385,Horror,2021,7.0,274586,167,Alfonso Cuaron,German,UK,60.0,198.2,84.0,138.2,230.3
Movie Title 386,Horror,1985,6.5,1882297,78,Alfonso Cuaron,German,Australia,77.7,580.1,,502.4,646.6
Movie Title 387,Horror,1994,7.0,1889755,101,Alfonso Cuaron,Hindi,Germany,27.4,77.8,95.0,50.4,183.9
Movie Title 388,Animation,2022,5.7,824759,84,Denis Villeneuve,Korean,UK,9.6,70.4,44.0,60.8,633.3
Movie Title 389,Action,2016,5.8,934703,209,Christopher Nolan,Hindi,USA,13.9,109.1,76.0,95.2,684.9
Movie Title 390,Thriller,2012,5.2,335971,205,Stanley Kubrick,Japanese,India,22.5,120.6,51.0,98.1,436.0
Movie Title 391,Romance,1987,6.9,1680328,141,Peter Jackson,Italian,Australia,60.6,398.2,82.0,337.6,557.1
Movie Title 392,Documentary,2023,6.3,132184,81,Denis Villeneuve,Spanish,Japan,30.5,184.4,31.0,153.9,504.6
Movie Title 393,Comedy,2023,5.5,1136627,134,Coen Brothers,Hindi,UK,0.4,2.3,82.0,1.9,475.0
Movie Title 394,Action,1984,6.3,151653,176,Alfonso Cuaron,French,Germany,44.5,115.4,96.0,70.9,159.3
Movie Title 395,Crime,2018,7.1,246300,111,Peter Jackson,German,India,152.7,98.5,20.0,-54.2,-35.5
Movie Title 396,Comedy,1983,8.8,585010,184,Denis Villeneuve,French,France,100.3,288.4,70.0,188.1,187.5
Movie Title 397,Horror,1985,7.7,93036,208,Steven Spielberg,English,USA,104.7,565.6,,460.9,440.2
Movie Title 398,Drama,2011,3.8,1802498,172,Stanley Kubrick,Japanese,India,95.1,95.1,27.0,0.0,0.0
Movie Title 399,Crime,2009,6.8,148595,164,Ridley Scott,Japanese,India,23.5,6.9,87.0,-16.6,-70.6
Movie Title 400,Comedy,2014,8.2,854392,86,Coen Brothers,Hindi,Japan,86.9,112.1,24.0,25.2,29.0
Movie Title 401,Horror,2019,4.9,1822573,154,Alfonso Cuaron,Spanish,India,9.3,53.8,58.0,44.5,478.5
Movie Title 402,Comedy,1995,7.2,282696,125,Wes Anderson,Japanese,Japan,64.3,500.8,42.0,436.5,678.8
Movie Title 403,Drama,1992,6.2,1566188,203,Quentin Tarantino,Hindi,USA,61.6,484.7,87.0,423.1,686.9
Movie Title 404,Horror,2021,7.9,1191456,155,Martin Scorsese,Hindi,USA,1.6,6.5,71.0,4.9,306.2
Movie Title 405,Thriller,2009,7.0,236419,171,Steven Spielberg,Korean,France,93.1,649.9,23.0,556.8,598.1
Movie Title 406,Action,1998,5.4,991029,123,Ridley Scott,Korean,Japan,140.1,833.2,66.0,693.1,494.7
Movie Title 407,Sci-Fi,1996,6.3,155692,184,David Fincher,Japanese,Japan,18.7,76.8,40.0,58.1,310.7
Movie Title 408,Documentary,1998,6.3,264031,208,Ridley Scott,Hindi,UK,100.4,468.6,75.0,368.2,366.7
Movie Title 409,Animation,2007,6.4,294946,157,Peter Jackson,English,UK,5.2,6.6,85.0,1.4,26.9
Movie Title 410,Documentary,2005,7.8,1658888,118,David Lynch,English,France,55.0,413.3,78.0,358.3,651.5
Movie Title 411,Crime,2016,5.5,489765,218,James Cameron,Korean,USA,39.9,117.5,26.0,77.6,194.5
Movie Title 412,Documentary,2005,7.7,1819673,184,Steven Spielberg,Japanese,South Korea,47.4,174.4,68.0,127.0,267.9
Movie Title 413,Horror,2002,6.1,643927,132,David Fincher,German,UK,156.4,850.7,35.0,694.3,443.9
Movie Title 414,Thriller,1988,6.8,1954256,173,Peter Jackson,Spanish,India,123.0,344.9,36.0,221.9,180.4
Movie Title 415,Sci-Fi,1991,6.6,1655802,152,David Lynch,Italian,USA,92.3,201.5,94.0,109.2,118.3
Movie Title 416,Action,1980,6.5,1267389,172,Coen Brothers,German,South Korea,19.2,98.3,,79.1,412.0
Movie Title 417,Action,1980,6.5,1825964,86,Quentin Tarantino,English,Australia,145.7,57.5,52.0,-88.2,-60.5
Movie Title 418,Drama,2013,8.2,1434466,75,Ridley Scott,English,India,6.2,36.1,45.0,29.9,482.3
Movie Title 419,Animation,2011,7.5,1862057,216,Stanley Kubrick,German,Germany,115.2,484.9,85.0,369.7,320.9
Movie Title 420,Comedy,2004,6.1,1389509,97,Wes Anderson,Korean,Japan,23.9,117.7,82.0,93.8,392.5
Movie Title 421,Thriller,2019,8.4,1658390,107,Coen Brothers,Korean,USA,3.3,16.9,60.0,13.6,412.1
Movie Title 422,Comedy,1980,6.8,402062,188,David Fincher,Japanese,Germany,66.4,286.2,77.0,219.8,331.0
Movie Title 423,Sci-Fi,1995,6.9,484779,106,Peter Jackson,Korean,France,15.8,75.0,98.0,59.2,374.7
Movie Title 424,Documentary,2018,5.5,498952,184,Alfonso Cuaron,French,Japan,16.7,92.4,29.0,75.7,453.3
Movie Title 425,Action,1984,5.9,571508,137,James Cameron,Italian,Japan,21.9,133.0,34.0,111.1,507.3
Movie Title 426,Sci-Fi,2001,5.7,833595,112,Alfonso Cuaron,German,India,3.9,22.9,61.0,19.0,487.2
Movie Title 427,Documentary,2008,6.6,397981,127,Ridley Scott,German,Germany,11.7,81.7,76.0,70.0,598.3
Movie Title 428,Action,1982,7.3,380270,82,Wes Anderson,Hindi,Japan,0.3,0.5,36.0,0.2,66.7
Movie Title 429,Documentary,1991,6.9,1917494,121,Quentin Tarantino,English,UK,35.4,117.8,79.0,82.4,232.8
Movie Title 430,Animation,2005,8.4,1124853,127,James Cameron,German,USA,5.3,40.2,28.0,34.9,658.5
Movie Title 431,Thriller,1995,5.4,1006782,101,Denis Villeneuve,French,UK,68.9,226.9,55.0,158.0,229.3
Movie Title 432,Crime,2016,6.6,1569146,174,Peter Jackson,German,India,16.1,18.9,92.0,2.8,17.4
Movie Title 433,Sci-Fi,2001,5.0,484455,152,Coen Brothers,Spanish,South Korea,172.5,741.5,99.0,569.0,329.9
Movie Title 434,Sci-Fi,2008,5.4,1940253,168,Wes Anderson,French,Australia,123.0,129.6,55.0,6.6,5.4
Movie Title 435,Romance,1993,8.0,123332,173,Guillermo del Toro,Japanese,India,20.5,36.5,67.0,16.0,78.0
Movie Title 436,Horror,2007,5.9,1283807,97,Ridley Scott,Spanish,USA,91.7,732.4,70.0,640.7,698.7
Movie Title 437,Animation,1984,5.5,548219,198,David Lynch,Spanish,Japan,97.5,431.2,89.0,333.7,342.3
Movie Title 438,Animation,2009,3.9,90116,117,Ridley Scott,German,Germany,258.6,624.7,93.0,366.1,141.6
Movie Title 439,Comedy,1984,5.5,252671,109,David Fincher,Korean,Germany,54.7,435.4,99.0,380.7,696.0
Movie Title 440,Documentary,1991,6.3,1891641,166,Wes Anderson,German,France,5.1,39.5,87.0,34.4,674.5
Movie Title 441,Horror,1995,4.9,1523494,183,Quentin Tarantino,French,India,62.4,227.0,41.0,164.6,263.8
Movie Title 442,Thriller,2005,6.2,1625777,201,Martin Scorsese,Japanese,USA,58.8,131.2,96.0,72.4,123.1
Movie Title 443,Thriller,2005,8.0,775504,206,David Lynch,English,France,61.0,411.1,99.0,350.1,573.9
Movie Title 444,Animation,2000,5.7,1668640,180,Denis Villeneuve,Italian,Japan,22.0,127.2,25.0,105.2,478.2
Movie Title 445,Thriller,2018,5.4,1075567,213,James Cameron,Korean,South Korea,117.8,654.7,45.0,536.9,455.8
Movie Title 446,Romance,2015,5.2,515265,145,Steven Spielberg,French,India,192.3,1378.1,94.0,1185.8,616.6
Movie Title 447,Sci-Fi,2012,5.1,1759781,100,Steven Spielberg,English,South Korea,14.7,82.0,22.0,67.3,457.8
Movie Title 448,Drama,2009,7.1,629380,188,Wes Anderson,French,USA,5.5,13.3,71.0,7.8,141.8
Movie Title 449,Crime,2016,6.6,230577,211,Ridley Scott,Korean,South Korea,13.0,73.0,93.0,60.0,461.5
Movie Title 450,Comedy,2002,7.6,711672,94,David Fincher,English,South Korea,103.1,266.5,79.0,163.4,158.5
Movie Title 451,Documentary,1989,8.9,404777,103,Christopher Nolan,Korean,USA,67.7,414.5,82.0,346.8,512.3
Movie Title 452,Crime,1984,4.3,1983981,136,Stanley Kubrick,French,USA,60.6,305.1,84.0,244.5,403.5
Movie Title 453,Documentary,2015,7.0,1810977,187,Wes Anderson,Spanish,India,30.8,24.8,71.0,-6.0,-19.5
Movie Title 454,Action,2013,5.2,96556,142,Ridley Scott,Italian,South Korea,51.7,217.1,95.0,165.4,319.9
Movie Title 455,Crime,2010,7.4,1898883,95,Alfonso Cuaron,Hindi,France,22.1,63.6,33.0,41.5,187.8
Movie Title 456,Drama,1989,6.2,1206565,217,Steven Spielberg,Italian,Australia,38.9,107.5,91.0,68.6,176.3
Movie Title 457,Animation,1998,6.5,1373840,173,Steven Spielberg,Spanish,USA,94.5,462.8,87.0,368.3,389.7
Movie Title 458,Romance,2011,5.0,396204,79,Denis Villeneuve,Korean,Japan,238.6,647.6,47.0,409.0,171.4
